Gender,Age,Branch,Administration Level,Entry Time,Years of Service,Highest Education Level,Status,Rank,Salary Rank,Description,Attrition
Female,39,BRC Culture & Tourism,General Manager,3/8/10,9,Bachelor,Full-time,6,M 6.1,Management,Yes
Male,42,BRC Culture & Tourism,Deputy General Manager,5/6/10,8,Graduate Level (Master & Ph.d.),Full-time,5,M 5.1,Human Resources,Yes
Male,27,BRC Culture & Tourism,Staff,7/1/14,1,Bachelor,Full-time,1,P 1.1,Human Resources,Yes
Male,39,BRC Culture & Tourism,General Manager,8/31/04,13,Bachelor,Full-time,6,M 6.1,Commercial Operation-Commercial Management,Yes
Female,35,BRC Culture & Tourism,Assistant General Manager,3/18/14,3,Bachelor,Full-time,4,P 4.1,Commercial Operation-Planning,Yes
Male,30,BRC Culture & Tourism,Staff,7/12/12,4,Bachelor,Full-time,1,P 1.2,Commercial Operation-Common,Yes
Male,27,BRC Culture & Tourism,Deputy Manager,9/8/15,2,Bachelor,Full-time,2,P 2.1,Property Management,Yes
Female,35,BRC Culture & Tourism,Sipervisor,6/25/12,2,Graduate Level (Master & Ph.d.),Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,46,BRC Culture & Tourism,Assistant General Manager,9/27/13,5,Bachelor,Full-time,4,P 4.2,Property Management,Yes
Male,32,BRC Culture & Tourism,Staff,5/18/16,6,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Commercial Operation-Investment,Yes
Female,29,BRC Culture & Tourism,Staff,9/14/15,1,Graduate Level (Master & Ph.d.),Full-time,1,P 1.1,Marketing & CRM-Costumer Relationship,Yes
Male,33,BRC Culture & Tourism,Manager,2/6/17,1,Bachelor,Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,35,BRC Culture & Tourism,Assistant General Manager,5/4/15,7,Bachelor,Full-time,4,P 4.1,Commercial Operation-Planning,Yes
Female,44,BRC Culture & Tourism,Deputy General Manager,5/22/15,0,"Community College, Two-Year Program, or Equivalent ",Full-time,5,M 5.1,Marketing & CRM-Marketing,Yes
Male,34,BRC Culture & Tourism,Manager,5/22/15,1,Graduate Level (Master & Ph.d.),Full-time,3,P 3.1,Commercial Operation-Common,Yes
Male,40,BRC Culture & Tourism,Assistant General Manager,7/13/15,0,Bachelor,Full-time,4,P 4.1,Project Management,Yes
Female,25,BRC Culture & Tourism,Staff,7/1/15,2,Bachelor,Full-time,1,P 1.2,Commercial Operation-Operation Management,Yes
Male,37,BRC Culture & Tourism,Manager,4/20/15,0,Bachelor,Full-time,3,P 3.1,Commercial Operation-Planning,Yes
Female,29,BRC Culture & Tourism,Assistant General Manager,5/4/15,3,Bachelor,Full-time,4,P 4.1,Commercial Operation-Planning,Yes
